ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
68,DMK,47.78,81.69,GEN,North,AIADMK,38.95,Cheyyar,Tiruvannamalai,North,12271,5.72,21081,9.47,True,8810
69,DMK,54.88,76.81,SC,North,DMK,33.37,Vandavasi,Tiruvannamalai,North,35953,19.33,3333,1.74,False,-32620
70,DMK,52.99,78.21,GEN,Central,PMK,36.1,Gingee,Villupuram,Central,35803,17.31,12645,5.84,True,-23158
71,PMK,45.79,79.5,GEN,Central,AIADMK,43.52,Mailam,Villupuram,Central,2230,1.26,30041,15.88,True,27811
72,AIADMK,47.74,78.43,SC,Central,VCK,32.56,Tindivanam,Villupuram,Central,9753,5.34,734,0.37,True,-9019
73,AIADMK,50.61,79.79,SC,Central,DMK,35.85,Vanur,Villupuram,Central,21727,11.92,7034,3.66,True,-14693
74,DMK,49.92,76.97,GEN,Central,DMK,33.88,Villupuram,Villupuram,Central,14868,7.26,4119,1.91,False,-10749
75,DMK,48.41,81.39,GEN,Central,PMK,33.33,Vikravandi,Villupuram,Central,9573,4.94,910,0.43,True,-8663
76,DMK,56.56,76.27,GEN,Central,AIADMK,33.61,Tirukkoyilur,Villupuram,Central,59680,30.42,285,0.13,True,-59395
77,DMK,47.15,82.62,GEN,Central,DMK,36.34,Ulundurpet,Villupuram,Central,5256,2.15,2277,0.84,False,-2979
78,DMK,52.96,80.18,GEN,Central,DMK,36.65,Rishivandiam,Villupuram,Central,41728,19.4,4862,1.99,False,-36866
79,DMK,56.16,79.58,GEN,Central,AIADMK,34.07,Sankarapuram,Villupuram,Central,45963,21.3,3440,1.46,True,-42523
80,AIADMK,48.99,78.16,SC,Central,TVK,32.5,Kallakurichi,Villupuram,Central,25891,11.46,798,0.32,True,-25093
81,AIADMK,48.02,77.11,SC,Central,AIADMK,37.2,Gangavalli,Salem,Central,7361,3.95,14404,7.32,False,7043
82,AIADMK,47.72,77.26,SC,Central,AIADMK,38.81,Attur,Salem,Central,8257,4.13,15318,7.35,False,7061
83,AIADMK,50.88,83.09,ST,Central,AIADMK,34.61,Yercaud,Salem,Central,25955,10.86,2189,0.86,False,-23766
84,AIADMK,57.22,83.28,GEN,Central,AIADMK,41.4,Omalur,Salem,Central,55294,22.2,14539,5.36,False,-40755
85,PMK,44.43,75.01,GEN,Central,AIADMK,37.43,Mettur,Salem,Central,656,0.3,19105,8.27,True,18449
86,AIADMK,65.97,85.64,GEN,Central,AIADMK,57.67,Edapadi,Salem,Central,93802,37.93,98110,37.99,False,4308
87,AIADMK,49.72,83.71,GEN,Central,AIADMK,35.83,Sankari,Salem,Central,20045,8.63,9517,3.9,False,-10528
88,PMK,48.69,71.81,GEN,Central,TVK,51.37,Salem (West),Salem,Central,21499,9.92,74867,31.94,True,53368
89,DMK,46.17,72.14,GEN,Central,TVK,40.68,Salem (North),Salem,Central,7588,3.75,14034,6.66,True,6446
90,AIADMK,48.76,76.0,GEN,Central,TVK,43.95,Salem (South),Salem,Central,22609,11.31,33369,16.05,True,10760
91,AIADMK,49.92,85.64,GEN,Central,TVK,33.88,Veerapandi,Salem,Central,19895,8.89,4071,1.73,True,-15824
92,DMK,46.08,82.05,SC,Central,TVK,36.55,Rasipuram,Namakkal,Central,1952,0.99,14511,7.09,True,12559
93,DMK,45.51,80.93,ST,Central,TVK,32.82,Sendamangalam,Namakkal,Central,10493,5.27,2655,1.27,True,-7838
94,DMK,51.51,78.57,GEN,Central,TVK,37.56,Namakkal,Namakkal,Central,27861,13.48,11008,5.19,True,-16853
95,AIADMK,46.83,81.14,GEN,Central,AIADMK,32.49,Paramathi-Velur,Namakkal,Central,7662,4.17,308,0.16,False,-7354
96,DMK,44.23,78.71,GEN,Central,TVK,41.6,Tiruchengode,Namakkal,Central,2862,1.55,28172,14.74,True,25310
97,AIADMK,49.92,78.85,GEN,Central,TVK,39.54,Kumarapalayam,Namakkal,Central,31646,15.67,7696,3.75,True,-23950
98,INC,44.27,66.24,GEN,Kongu,TVK,42.93,Erode (East),Erode,Kongu,8904,5.86,23966,14.75,True,15062
99,DMK,49.01,69.36,GEN,Kongu,TVK,43.74,Erode (West),Erode,Kongu,22089,10.74,22250,10.05,True,161
100,BJP,42.96,75.26,GEN,Kongu,TVK,31.83,Modakurichi,Erode,Kongu,281,0.15,2430,1.27,True,2149
101,DMK,46.39,74.15,SC,Kongu,AIADMK,40.56,Dharapuram,Erode,Kongu,1393,0.72,16727,8.37,True,15334
102,DMK,47.14,77.19,GEN,Kongu,AIADMK,34.94,Kangayam,Erode,Kongu,7331,3.67,8133,4.0,True,802
103,AIADMK,44.84,82.6,GEN,Kongu,AIADMK,35.03,Perundurai,Erode,Kongu,14507,7.64,9693,4.83,False,-4814
104,AIADMK,50.11,83.5,GEN,Kongu,AIADMK,36.28,Bhavani,Erode,Kongu,22523,11.18,7396,3.55,False,-15127
105,DMK,44.84,79.69,GEN,Kongu,AIADMK,32.32,Anthiyur,Erode,Kongu,1275,0.72,1260,0.68,True,-15
106,AIADMK,50.68,82.52,GEN,Kongu,TVK,37.6,Gobichettipalayam,Tirupur,Kongu,28563,13.33,16620,7.56,True,-11943
107,AIADMK,49.45,77.37,SC,Kongu,TVK,33.73,Bhavanisagar,Tirupur,Kongu,16008,7.98,4569,2.13,True,-11439
108,INC,46.44,67.82,GEN,Kongu,BJP,32.61,Udhagamandalam,Tirupur,Kongu,5348,3.79,976,0.66,True,-4372
109,AIADMK,46.65,72.15,SC,Kongu,DMK,43.37,Gudalur,Tirupur,Kongu,1945,1.41,22833,15.1,True,20888
110,DMK,45.49,69.79,GEN,Kongu,DMK,35.69,Coonoor,Tirupur,Kongu,4105,3.02,8099,5.73,False,3994
111,AIADMK,46.75,75.14,GEN,Kongu,TVK,30.97,Mettupalayam,Tirupur,Kongu,2456,1.09,7768,3.18,True,5312
